,Hours,Expected Attendance,Actual Attendance,Program Delivered,Everett,Global,Pullman,Spokane,Tri Cities,Vancouver,Non-WSU,Unsure,Latitude,Longitude,category_encoded,year,month,day,DOW_encoded,Start Hour,Start Minute,End Hour,End Minute,Program_encoded,Facilitator 1_encoded,Format_encoded,Campus_encoded
28,1.0,40.0,26.0,Yes,0,0,0,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2020,9,9,10,17,30,18,30,28,1,2,3
29,1.0,40.0,26.0,Yes,0,0,0,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2020,9,17,6,16,30,17,30,28,1,2,3
30,0.0,19.0,19.0,Yes,0,0,19,0,0,0,0.0,0.0,46.727996,-117.165668,2,2020,1,10,0,10,30,10,55,58,2,0,3
31,0.0,33.0,62.0,Yes,0,0,62,0,0,0,0.0,0.0,46.727996,-117.165668,2,2020,1,10,0,11,0,11,25,58,2,0,3
32,0.0,27.0,26.0,Yes,0,0,26,0,0,0,0.0,0.0,46.727996,-117.165668,2,2020,1,27,2,17,30,17,55,58,2,0,3
33,8.0,30.0,0.0,No,0,0,0,0,0,0,0.0,0.0,46.727382,-117.165967,3,2020,3,28,4,8,0,17,30,47,2,0,3
34,1.0,40.0,26.0,Yes,0,0,0,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2020,8,16,5,10,30,11,30,18,2,2,3
35,1.0,40.0,26.0,Yes,0,0,0,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2020,8,17,2,11,30,12,30,18,2,2,3
36,1.0,40.0,26.0,Yes,0,0,0,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2020,8,19,10,11,30,12,30,18,2,2,3
37,1.0,40.0,26.0,Yes,0,0,0,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2020,8,22,4,9,30,10,30,18,2,2,3
38,1.0,40.0,26.0,Yes,0,0,0,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2020,8,22,4,11,0,12,0,18,2,2,3
39,1.0,40.0,26.0,Yes,0,0,0,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2020,9,21,2,17,30,18,30,28,2,2,3
40,1.0,40.0,26.0,Yes,0,0,0,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2020,9,22,8,16,30,17,30,28,2,2,3
41,1.0,40.0,26.0,Yes,0,0,0,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2020,9,28,2,17,30,18,30,28,2,2,3
42,1.0,40.0,33.0,Yes,0,0,0,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2020,9,29,8,15,0,16,0,28,2,2,3
43,1.0,40.0,26.0,Yes,0,0,0,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2020,10,6,8,16,30,17,30,28,2,2,3
44,0.0,33.15399610136452,0.0,No,0,0,0,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,3,2020,10,8,6,11,30,12,0,55,2,2,3
45,1.0,40.0,26.0,Yes,0,0,0,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2020,10,9,0,11,30,0,30,28,2,2,3
46,1.0,40.0,0.0,No,0,0,0,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2020,10,19,2,17,30,18,30,28,2,2,3
47,0.0,33.15399610136452,0.0,No,0,0,0,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,3,2020,10,22,6,11,30,12,0,55,2,2,3
48,1.0,40.0,19.0,Yes,0,0,0,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2020,10,26,2,15,30,16,30,28,2,2,3
49,6.0,20.0,12.0,Yes,0,1,8,0,2,1,0.0,0.0,46.729243427096854,-117.16408172774106,3,2020,11,5,6,8,30,14,30,47,2,2,1
50,0.0,33.15399610136452,0.0,No,0,0,0,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,3,2020,11,12,6,11,30,12,0,55,2,2,3
51,1.0,15.0,5.0,Yes,0,0,5,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2021,1,23,4,9,0,10,0,18,2,2,3
52,6.0,20.0,12.0,Yes,0,3,6,1,1,1,0.0,0.0,46.729243427096854,-117.16408172774106,3,2021,2,23,8,12,0,12,0,47,2,2,1
53,6.0,20.0,12.0,Yes,0,3,6,1,1,1,0.0,0.0,46.729243427096854,-117.16408172774106,3,2021,2,23,8,9,0,15,0,47,2,2,1
54,6.0,33.15399610136452,9.0,Yes,0,0,9,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,3,2021,4,9,0,12,0,12,0,47,2,2,3
55,6.0,33.15399610136452,9.0,Yes,0,0,9,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,3,2021,4,9,0,9,0,15,0,47,2,2,3
56,7.0,33.15399610136452,8.0,Yes,0,1,7,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,3,2022,1,26,10,9,0,16,0,47,2,2,1
57,1.0,33.15399610136452,17.0,Yes,0,0,17,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,4,2022,9,28,10,18,0,19,0,66,2,0,3
58,1.0,33.15399610136452,47.0,Yes,0,0,47,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,4,2022,10,25,8,17,0,18,0,70,2,0,3
59,1.0,33.15399610136452,5.0,Yes,0,0,5,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,3,2022,10,28,0,16,30,17,30,49,2,0,3
60,7.0,33.15399610136452,10.0,Yes,0,2,3,3,0,2,0.0,0.0,46.729243427096854,-117.16408172774106,3,2022,11,14,2,9,0,16,0,47,2,2,1
61,1.0,33.15399610136452,13.0,Yes,0,0,13,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,4,2022,12,2,0,17,0,18,0,70,2,0,3
62,7.0,33.15399610136452,0.0,No,0,0,0,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,3,2023,2,14,8,9,0,16,0,47,2,2,1
63,1.0,33.15399610136452,38.0,Yes,0,0,38,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,4,2023,2,23,6,17,0,18,0,74,2,0,3
64,1.0,33.15399610136452,34.0,Yes,0,0,34,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,4,2023,2,23,6,18,0,19,0,74,2,0,3
65,1.0,33.15399610136452,39.0,Yes,0,0,39,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,4,2023,2,23,6,19,0,20,0,74,2,0,3
66,0.0,33.15399610136452,20.0,Yes,0,0,20,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,4,2023,3,4,4,10,0,10,30,74,2,0,3
67,0.0,33.15399610136452,24.0,Yes,0,0,24,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,4,2023,3,4,4,10,30,11,0,74,2,0,3
68,1.0,33.15399610136452,402.0,Yes,0,0,0,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,0,2023,3,5,4,9,0,10,0,54,2,0,3
69,7.0,33.15399610136452,5.0,Yes,1,1,3,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,3,2023,3,30,6,9,0,16,0,47,2,2,1
70,4.0,33.15399610136452,7.0,Yes,0,1,4,1,1,0,0.0,0.0,46.729243427096854,-117.16408172774106,3,2023,7,20,6,9,0,12,30,45,2,2,1
71,2.0,30.0,24.0,Yes,0,0,24,0,0,0,0.0,0.0,46.72886,-117.159372,3,2019,6,5,11,10,0,12,0,11,3,0,3
72,0.0,33.15399610136452,34.0,Yes,0,0,34,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2019,6,13,6,10,0,10,25,58,3,0,3
73,0.0,33.15399610136452,34.0,Yes,0,0,34,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2019,6,13,6,10,30,10,55,58,3,0,3
74,0.0,33.15399610136452,42.0,Yes,0,0,42,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2019,6,17,2,14,0,14,25,58,3,0,3
75,0.0,33.15399610136452,34.0,Yes,0,0,34,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2019,6,17,2,14,30,14,55,58,3,0,3
76,0.0,33.15399610136452,39.0,Yes,0,0,39,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2019,6,21,0,12,0,12,25,58,3,0,3
77,0.0,33.15399610136452,39.0,Yes,0,0,39,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2019,6,21,0,12,30,12,55,58,3,0,3
78,0.0,33.15399610136452,25.0,Yes,0,0,25,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2019,6,24,2,14,0,14,25,58,3,0,3
79,0.0,33.15399610136452,25.0,Yes,0,0,25,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2019,6,24,2,14,30,14,55,58,3,0,3
80,0.0,33.15399610136452,35.0,Yes,0,0,35,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2019,6,27,6,9,0,9,25,58,3,0,3
81,0.0,33.15399610136452,35.0,Yes,0,0,35,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2019,6,27,6,9,30,9,55,58,3,0,3
82,0.0,33.15399610136452,28.0,Yes,0,0,28,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2019,7,8,2,10,30,10,55,58,3,0,3
83,0.0,33.15399610136452,28.0,Yes,0,0,28,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2019,7,8,2,11,0,11,25,58,3,0,3
84,0.0,33.15399610136452,28.0,Yes,0,0,28,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2019,7,12,0,8,30,8,55,58,3,0,3
85,0.0,33.15399610136452,28.0,Yes,0,0,28,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2019,7,12,0,9,0,9,25,58,3,0,3
86,0.0,33.15399610136452,13.0,Yes,0,0,13,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2019,7,15,2,11,0,11,25,58,3,0,3
87,0.0,33.15399610136452,13.0,Yes,0,0,13,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2019,7,15,2,11,30,11,55,58,3,0,3
88,0.0,33.15399610136452,28.0,Yes,0,0,28,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2019,7,19,0,14,0,14,25,58,3,0,3
89,0.0,33.15399610136452,28.0,Yes,0,0,28,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2019,7,19,0,14,30,14,55,58,3,0,3
90,0.0,33.15399610136452,30.0,Yes,0,0,30,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2019,7,29,2,8,30,8,55,58,3,0,3
91,0.0,33.15399610136452,30.0,Yes,0,0,30,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2019,7,29,2,9,0,9,25,58,3,0,3
92,2.0,33.15399610136452,34.0,Yes,0,0,34,0,0,0,0.0,0.0,46.729809,-117.163473,2,2019,8,10,4,15,30,17,0,9,3,0,3
93,2.0,33.15399610136452,40.0,Yes,0,0,40,0,0,0,0.0,0.0,46.729809,-117.163473,2,2019,8,10,4,17,45,19,15,9,3,0,3
94,2.0,33.15399610136452,29.0,Yes,0,0,29,0,0,0,0.0,0.0,46.729801,-117.161642,2,2019,8,11,5,11,0,12,30,9,3,0,3
95,2.0,33.15399610136452,17.0,Yes,0,0,17,0,0,0,0.0,0.0,46.729801,-117.161642,2,2019,8,11,5,13,15,14,45,9,3,0,3
96,2.0,33.15399610136452,32.0,Yes,0,0,32,0,0,0,0.0,0.0,46.729801,-117.161642,2,2019,8,11,5,15,30,17,0,9,3,0,3
97,1.0,33.15399610136452,57.0,Yes,0,0,57,0,0,0,0.0,0.0,46.729809,-117.163473,2,2019,8,12,2,11,45,12,45,37,3,0,3
98,1.0,33.15399610136452,124.0,Yes,0,0,124,0,0,0,0.0,0.0,46.729801,-117.161642,2,2019,8,13,8,11,45,12,45,37,3,0,3
99,1.0,33.15399610136452,61.0,Yes,0,0,61,0,0,0,0.0,0.0,46.729809,-117.163473,2,2019,8,14,10,9,30,10,30,37,3,0,3
100,1.0,33.15399610136452,67.0,Yes,0,0,67,0,0,0,0.0,0.0,46.729809,-117.163473,2,2019,8,14,10,11,45,12,45,37,3,0,3
101,2.0,33.15399610136452,33.0,Yes,0,0,33,0,0,0,0.0,0.0,46.729801,-117.161642,2,2019,8,15,6,11,0,12,30,9,3,0,3
102,2.0,33.15399610136452,40.0,Yes,0,0,40,0,0,0,0.0,0.0,46.729801,-117.161642,2,2019,8,16,0,14,15,16,0,9,3,0,3
103,1.0,10.0,23.0,Yes,0,0,23,0,0,0,0.0,0.0,46.73453,-117.162896,0,2019,9,4,11,18,30,19,30,65,3,0,3
104,1.0,85.0,20.0,Yes,0,0,20,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,1,2019,9,4,11,15,10,16,0,71,3,0,3
105,2.0,33.15399610136452,38.0,Yes,0,0,38,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2019,9,16,2,17,15,18,45,9,3,0,3
106,1.0,33.15399610136452,42.0,Yes,0,0,42,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2019,9,17,8,13,0,14,0,37,3,0,3
107,1.0,37.0,34.0,Yes,0,0,34,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,1,2019,9,18,11,15,20,16,20,67,3,0,3
108,2.0,33.15399610136452,33.0,Yes,0,0,33,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2019,9,24,8,15,30,17,0,9,3,0,3
109,1.0,95.0,0.0,No,0,0,0,0,0,0,0.0,0.0,46.729809,-117.161607,0,2019,9,30,3,18,0,19,0,52,3,0,3
110,2.0,33.15399610136452,36.0,Yes,0,0,36,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2019,10,1,8,16,15,17,45,9,3,0,3
111,1.0,30.0,25.0,Yes,0,0,25,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,1,2019,10,2,11,11,10,12,0,67,3,0,3
112,1.0,30.0,28.0,Yes,0,0,28,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,1,2019,10,3,7,13,25,14,15,67,3,0,3
113,1.0,33.15399610136452,18.0,Yes,0,0,18,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2019,10,3,7,9,0,10,0,37,3,0,3
114,1.0,25.0,10.0,Yes,0,0,10,0,0,0,0.0,0.0,46.727794,-117.162907,0,2019,10,7,3,17,0,18,0,52,3,0,3
115,1.0,25.0,0.0,No,0,0,0,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,1,2019,10,11,11,14,10,15,0,50,3,0,3
116,1.0,33.15399610136452,7.0,Yes,0,0,7,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,1,2019,10,15,9,16,15,17,15,67,3,0,3
117,2.0,33.15399610136452,29.0,Yes,0,0,29,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2019,10,22,8,15,15,16,45,9,3,0,3
118,2.0,33.15399610136452,0.0,No,0,0,0,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2019,10,31,6,16,15,17,45,9,3,0,3
119,2.0,33.15399610136452,7.0,Yes,0,0,7,0,0,0,0.0,0.0,46.731735,-117.166057,2,2019,11,1,0,10,0,11,30,9,3,0,3
120,1.0,33.15399610136452,19.0,Yes,0,0,19,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2019,11,4,2,13,30,14,30,37,3,0,3
121,1.0,100.0,102.0,Yes,0,0,102,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,1,2019,11,5,9,12,0,13,0,59,3,0,3
122,2.0,33.15399610136452,0.0,No,0,0,0,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2019,11,6,10,18,0,19,30,9,3,0,3
123,1.0,100.0,88.0,Yes,0,0,88,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,1,2019,11,7,7,12,0,13,0,59,3,0,3
124,1.0,14.0,10.0,Yes,0,0,10,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,3,2019,11,12,9,8,0,9,0,49,3,0,3
125,1.0,85.0,25.0,Yes,0,0,25,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,1,2019,11,13,11,16,10,17,0,71,3,0,3
126,1.0,19.0,0.0,No,0,0,0,0,0,0,0.0,0.0,46.727382,-117.165967,0,2019,11,18,3,19,0,20,0,54,3,0,3
127,1.0,85.0,19.0,Yes,0,0,19,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,1,2019,11,18,3,16,10,17,0,67,3,0,3
128,0.0,33.0,30.0,Yes,0,0,30,0,0,0,0.0,0.0,46.727996,-117.165668,2,2020,1,10,0,11,30,11,55,58,3,0,3
129,2.0,33.15399610136452,29.0,Yes,0,0,29,0,0,0,0.0,0.0,46.729809,-117.163473,2,2020,1,12,5,11,30,13,0,9,3,0,3
130,2.0,33.15399610136452,22.0,Yes,0,0,22,0,0,0,0.0,0.0,46.729809,-117.163473,2,2020,1,12,5,14,0,15,30,9,3,0,3
131,2.0,33.15399610136452,28.0,Yes,0,0,28,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2020,1,12,5,11,30,13,0,9,3,0,3
132,2.0,33.15399610136452,8.0,Yes,0,0,8,0,0,0,0.0,0.0,46.727382,-117.165967,2,2020,1,15,10,15,30,17,0,9,3,0,3
133,1.0,60.0,89.0,Yes,0,0,89,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,0,2020,1,22,11,18,0,19,0,54,3,0,3
134,1.0,50.0,31.0,Yes,0,0,31,0,0,0,0.0,0.0,46.729801,-117.161642,0,2020,1,29,11,17,0,18,0,54,3,0,3
135,2.0,33.15399610136452,9.0,Yes,0,0,9,0,0,0,0.0,0.0,46.727382,-117.165967,2,2020,2,10,2,15,30,17,0,9,3,0,3
136,2.0,33.15399610136452,10.0,Yes,0,0,10,0,0,0,0.0,0.0,46.727382,-117.165967,2,2020,2,11,8,17,0,18,30,9,3,0,3
137,1.0,85.0,15.0,Yes,0,0,15,0,0,0,0.0,0.0,46.729809,-117.163473,1,2020,2,24,3,15,10,16,0,64,3,0,3
138,0.0,33.15399610136452,18.0,Yes,0,0,18,0,0,0,0.0,0.0,46.728643,-117.166177,1,2020,3,4,11,13,10,13,40,67,3,0,3
139,1.0,85.0,7.0,Yes,0,0,7,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,1,2020,3,30,3,15,10,16,0,71,3,2,3
140,1.0,150.0,260.0,Yes,0,0,260,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,1,2020,4,6,3,13,0,14,0,50,3,2,3
141,2.0,4.0,2.0,Yes,0,0,2,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2020,4,15,10,17,0,18,30,9,3,2,3
142,2.0,1.0,1.0,Yes,0,0,1,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2020,4,20,2,14,0,15,30,9,3,2,3
143,0.0,10.0,5.0,Yes,0,0,5,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,1,2020,4,22,11,13,0,13,15,0,3,2,3
144,1.0,50.0,21.0,Yes,0,0,21,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,1,2020,4,22,11,13,0,14,0,67,3,2,3
145,2.0,1.0,1.0,Yes,0,0,1,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2020,5,8,6,16,30,18,0,9,3,2,3
146,1.0,130.0,0.0,Yes,0,0,0,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,1,2020,5,12,9,17,30,18,30,59,3,2,3
147,1.0,40.0,26.0,Yes,0,0,0,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,2,2020,8,16,5,13,30,14,30,18,3,2,3
148,1.0,33.15399610136452,0.0,No,0,0,0,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,1,2020,9,7,2,16,10,17,0,64,3,2,1
149,2.0,33.15399610136452,35.0,Yes,0,0,35,0,0,0,0.0,0.0,46.729809,-117.163473,2,2019,8,11,5,11,0,12,30,9,4,0,3
150,2.0,33.15399610136452,33.0,Yes,0,0,33,0,0,0,0.0,0.0,46.729809,-117.163473,2,2019,8,11,5,13,15,14,45,9,4,0,3
151,0.0,33.15399610136452,19.0,Yes,0,0,19,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,1,2021,10,6,10,10,10,10,40,67,5,0,3
152,0.0,33.15399610136452,12.0,Yes,0,0,12,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,1,2021,10,6,10,11,10,11,40,67,5,0,3
153,0.0,33.15399610136452,10.0,Yes,0,0,10,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,1,2021,10,7,6,9,10,9,40,67,5,0,3
154,0.0,33.15399610136452,11.0,Yes,0,0,11,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,1,2021,10,7,6,10,35,11,5,67,5,0,3
155,1.0,10.0,7.0,Yes,0,0,7,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,1,2021,10,18,2,16,0,17,0,59,5,0,3
156,1.0,33.15399610136452,19.0,Yes,0,0,19,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,1,2021,10,20,10,18,0,19,0,71,5,0,3
157,1.0,33.15399610136452,21.0,Yes,0,0,21,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,1,2021,10,27,10,16,0,17,0,59,5,0,3
158,1.0,20.0,8.0,Yes,0,0,8,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,1,2021,10,27,10,18,0,19,0,59,5,0,3
159,1.0,33.15399610136452,20.0,Yes,0,0,20,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,1,2021,11,3,10,18,0,19,0,59,5,2,3
160,1.0,10.0,7.0,Yes,0,0,7,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,1,2021,11,5,0,16,0,17,0,59,5,2,3
161,1.0,20.0,17.0,Yes,0,0,17,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,1,2021,11,8,2,15,10,16,0,64,5,0,3
162,1.0,30.0,35.0,Yes,0,0,35,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,1,2021,11,9,8,17,30,18,30,71,5,2,3
163,1.0,33.15399610136452,12.0,Yes,0,0,12,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,1,2021,11,15,2,15,10,16,0,59,5,0,3
164,1.0,33.15399610136452,44.0,Yes,0,0,44,0,0,0,0.0,0.0,46.729243427096854,-117.16408172774106,1,2021,11,17,10,18,0,19,0,67,5,2,3
