Category,Date,DOW,Start Time,End Time,Hours,Program,Facilitator 1,Facilitator 2,Expected Attendance,Actual Attendance,Program Delivered,Format,Campus,Everett,Global,Pullman,Spokane,Tri Cities,Vancouver,Open System-wide.1,Non-WSU,Unsure,Main Role On Campus,Campus Community,Organization,Contact Name & Number,Notes,Location,Latitude,Longitude,GPS Coordinates
Mandatory Prog,8/15/23,Tuesday,10:30:00 AM,11:30:00 AM,1,Count on Cougs,Facilitator_1,,,44,Yes,In-Person,Pullman,,,44,,,,,,,Undergraduate,First-year students,,,,Todd 307,46.729809,-117.163473,"46° 43' 47.3124'' N
117° 9' 48.5028'' W"
Mandatory Prog,8/23/23,Wednesday,11:00:00 AM,12:00:00 PM,1,Count on Cougs,Facilitator_1,,,2,Yes,In-Person,Pullman,,,2,,,,,,,Undergraduate,First-year students,,,,G41,46.727382, -117.165967,"46° 43' 38.5752'' N
117° 9' 57.4812'' W"
Mandatory Prog,8/26/23,Saturday,10:30:00 AM,11:30:00 AM,1,Count on Cougs,Facilitator_1,,,26,Yes,In-Person,Pullman,,,26,,,,,,,Undergraduate,First-year students,,,,Todd,46.729809,-117.163473,"46° 43' 47.3124'' N
117° 9' 48.5028'' W"
Mandatory Prog,8/30/23,Wednesday,11:00:00 AM,12:00:00 PM,1,Count on Cougs,Facilitator_1,,,5,Yes,In-Person,Pullman,,,5,,,,,,,Undergraduate,First-year students,,,,G41,46.727382, -117.165967,"46° 43' 38.5752'' N
117° 9' 57.4812'' W"
Mandatory Prog,9/6/23,Wednesday,11:00:00 AM,12:00:00 PM,1,Count on Cougs,Facilitator_1,,,14,Yes,In-Person,Pullman,,,14,,,,,,,Undergraduate,First-year students,,,,G41,46.727382, -117.165967,"46° 43' 38.5752'' N
117° 9' 57.4812'' W"
Mandatory Prog,9/13/23,Wednesday,11:00:00 AM,12:00:00 PM,1,Count on Cougs,Facilitator_1,,,6,Yes,In-Person,Pullman,,,6,,,,,,,Undergraduate,First-year students,,,,G41,46.727382, -117.165967,"46° 43' 38.5752'' N
117° 9' 57.4812'' W"
Mandatory Prog,9/20/23,Wednesday,11:00:00 AM,10:00:00 AM,1,Count on Cougs,Facilitator_1,,,12,Yes,In-Person,Pullman,,,12,,,,,,,Undergraduate,First-year students,,,,G41,46.727382, -117.165967,"46° 43' 38.5752'' N
117° 9' 57.4812'' W"
Life Skills,9/20/23,Wednesday,5:00:00 PM,6:00:00 PM,1,Mindfulness,Facilitator_1,Facilitator_53,,73,Yes,In-person,Pullman,,,73,,,,,,,Undergraduate,Greek Student,,,Kappa Delta,CUE 219,46.729801,-117.161642,"46° 43' 47.2836'' N
117° 9' 41.9112'' W"
Mandatory Prog,9/27/23,Wednesday,11:00:00 AM,12:00:00 PM,1,Count on Cougs,Facilitator_1,,,3,Yes,In-Person,Pullman,,,3,,,,,,,Undergraduate,First-year students,,,,G41,46.727382, -117.165967,"46° 43' 38.5752'' N
117° 9' 57.4812'' W"
AOD+IMPACT,10/3/23,Tuesday,6:00:00 PM,7:00:00 PM,1,Conscious Cheers,Facilitator_1,Facilitator_49,,30,Yes,In-Person,Pullman,,,30,,,,,,,Undergraduate,Greek Student,,,Phi Sigma Kappa ,,,,
Mandatory Prog,8/16/20,Sunday,1:30:00 PM,2:30:00 PM,1,Count on Cougs,Facilitator_10,,40,26,Yes,Online - Live,Pullman,,,,,,,,,,Undergraduate,First-year students,,,,,,,
Mandatory Prog,8/16/20,Sunday,3:00:00 PM,4:00:00 PM,1,Count on Cougs,Facilitator_10,,40,26,Yes,Online - Live,Pullman,,,,,,,,,,Undergraduate,First-year students,,,,,,,
Mandatory Prog,8/19/20,Wednesday,11:30:00 AM,12:30:00 PM,1,Count on Cougs,Facilitator_10,,40,26,Yes,Online - Live,Pullman,,,,,,,,,,Undergraduate,First-year students,,,,,,,
Mandatory Prog,8/21/20,Friday,2:30:00 PM,3:30:00 PM,1,Count on Cougs,Facilitator_10,,40,26,Yes,Online - Live,Pullman,,,,,,,,,,Undergraduate,First-year students,,,,,,,
Mandatory Prog,9/5/20,Saturday,10:00:00 AM,11:00:00 AM,1,Count on Cougs: Makeup,Facilitator_10,,40,20,Yes,Online - Live,Pullman,,,,,,,,,,Undergraduate,First-year students,,,,,,,
Mandatory Prog,9/9/20,Wednesday,5:30:00 PM,6:30:00 PM,1,Count on Cougs: Makeup,Facilitator_10,,40,26,Yes,Online - Live,Pullman,,,,,,,,,,Undergraduate,First-year students,,,,,,,
Mandatory Prog,9/17/20,Thursday,4:30:00 PM,5:30:00 PM,1,Count on Cougs: Makeup,Facilitator_10,,40,26,Yes,Online - Live,Pullman,,,,,,,,,,Undergraduate,First-year students,,,,,,,
Mandatory Prog,1/10/20,Friday,10:30:00 AM,10:55:00 AM,0,Safety on Campus,Facilitator_11,,19,19,Yes,In-Person,Pullman,,,19,,,,,,,Incoming Students,New Student Programs,,,,Spark 3rd Floor,46.727996,-117.165668,"46° 43' 40.7856'' N
117° 9' 56.4048'' W"
Mandatory Prog,1/10/20,Friday,11:00:00 AM,11:25:00 AM,0,Safety on Campus,Facilitator_11,,33,62,Yes,In-Person,Pullman,,,62,,,,,,,Incoming Students,New Student Programs,,,,Spark 3rd Floor,46.727996,-117.165668,"46° 43' 40.7856'' N
117° 9' 56.4048'' W"
Mandatory Prog,1/27/20,Monday,5:30:00 PM,5:55:00 PM,0,Safety on Campus,Facilitator_11,,27,26,Yes,In-Person,Pullman,,,26,,,,,,,Incoming Students,New Student Programs,,,,Spark 3rd Floor,46.727996,-117.165668,"46° 43' 40.7856'' N
117° 9' 56.4048'' W"
Mental Health,3/28/20,Saturday,8:00:00 AM,5:30:00 PM,8,Mental Health First Aid,Facilitator_11,Facilitator_35,30,0,No,In-Person,Pullman,,,,,,,,,,General ,GPSA,,Kristen Johnson,Cancelled due to Covid 19,G41,46.727382, -117.165967,"46° 43' 38.5752'' N
117° 9' 57.4812'' W"
Mandatory Prog,8/16/20,Sunday,10:30:00 AM,11:30:00 AM,1,Count on Cougs,Facilitator_11,,40,26,Yes,Online - Live,Pullman,,,,,,,,,,Undergraduate,First-year students,,,,,,,
Mandatory Prog,8/17/20,Monday,11:30:00 AM,12:30:00 PM,1,Count on Cougs,Facilitator_11,,40,26,Yes,Online - Live,Pullman,,,,,,,,,,Undergraduate,First-year students,,,,,,,
Mandatory Prog,8/19/20,Wednesday,11:30:00 AM,12:30:00 PM,1,Count on Cougs,Facilitator_11,,40,26,Yes,Online - Live,Pullman,,,,,,,,,,Undergraduate,First-year students,,,,,,,
Mandatory Prog,8/22/20,Saturday,9:30:00 AM,10:30:00 AM,1,Count on Cougs,Facilitator_11,,40,26,Yes,Online - Live,Pullman,,,,,,,,,,Undergraduate,First-year students,,,,,,,
Mandatory Prog,8/22/20,Saturday,11:00:00 AM,12:00:00 PM,1,Count on Cougs,Facilitator_11,,40,26,Yes,Online - Live,Pullman,,,,,,,,,,Undergraduate,First-year students,,,,,,,
Mandatory Prog,9/21/20,Monday,5:30:00 PM,6:30:00 PM,1,Count on Cougs: Makeup,Facilitator_11,,40,26,Yes,Online - Live,Pullman,,,,,,,,,,Undergraduate,First-year students,,,,,,,
Mandatory Prog,9/22/20,Tuesday,4:30:00 PM,5:30:00 PM,1,Count on Cougs: Makeup,Facilitator_11,,40,26,Yes,Online - Live,Pullman,,,,,,,,,,Undergraduate,First-year students,,,,,,,
Mandatory Prog,9/28/20,Monday,5:30:00 PM,6:30:00 PM,1,Count on Cougs: Makeup,Facilitator_11,,40,26,Yes,Online - Live,Pullman,,,,,,,,,,Undergraduate,First-year students,,,,,,,
Mandatory Prog,9/29/20,Tuesday,3:00:00 PM,4:00:00 PM,1,Count on Cougs: Makeup,Facilitator_11,,40,33,Yes,Online - Live,Pullman,,,,,,,,,,Undergraduate,First-year students,,,,,,,
Mandatory Prog,10/6/20,Tuesday,4:30:00 PM,5:30:00 PM,1,Count on Cougs: Makeup,Facilitator_11,,40,26,Yes,Online - Live,Pullman,,,,,,,,,,Undergraduate,First-year students,,,,,,,
Mental Health,10/8/20,Thursday,11:30:00 AM,12:00:00 PM,0,Real Talk Thursdays,Facilitator_11,,,0,,Online - Live,Pullman,,,,,,,,,,Undergraduate,,CAPS,,,,,,
Mandatory Prog,10/9/20,Friday,11:30:00 AM,12:30:00 AM,1,Count on Cougs: Makeup,Facilitator_11,,40,26,Yes,Online - Live,Pullman,,,,,,,,,,Undergraduate,First-year students,,,,,,,
Mandatory Prog,10/19/20,Monday,5:30:00 PM,6:30:00 PM,1,Count on Cougs: Makeup,Facilitator_11,,40,0,No,Online - Live,Pullman,,,,,,,,,,Undergraduate,First-year students,,,,,,,
Mental Health,10/22/20,Thursday,11:30:00 AM,12:00:00 PM,0,Real Talk Thursdays,Facilitator_11,,,0,,Online - Live,Pullman,,,,,,,,,,Undergraduate,,CAPS,,,,,,
Mandatory Prog,10/26/20,Monday,3:30:00 PM,4:30:00 PM,1,Count on Cougs: Makeup,Facilitator_11,,40,19,Yes,Online - Live,Pullman,,,,,,,,,,Undergraduate,First-year students,,,,,,,
Mental Health,11/5/20,Thursday,8:30:00 AM,2:30:00 PM,6,Mental Health First Aid,Facilitator_11,Facilitator_35,20,12,Yes,Online - Live,Open System-wide,,1,8,,2,1,,,,Other,Unsure,,,"Open to all students, staff, and faculty. ",,,,
Mental Health,11/12/20,Thursday,11:30:00 AM,12:00:00 PM,0,Real Talk Thursdays,Facilitator_11,,,0,,Online - Live,Pullman,,,,,,,,,,Undergraduate,,CAPS,,,,,,
Mandatory Prog,1/23/21,Saturday,9:00:00 AM,10:00:00 AM,1,Count on Cougs,Facilitator_11,,15,5,Yes,Online - Live,Pullman,,,5,,,,,,,Undergraduate,First-year students,,,,,,,
Mental Health,2/23/21,Tuesday,,,6,Mental Health First Aid,Facilitator_11,Facilitator_35,20,12,Yes,Online - Live,Open System-wide,,3,6,1,1,1,,,,Undergraduates/Staff/Faculty,,,,,,,,
Mental Health,2/23/21,Tuesday,9:00:00 AM,3:00:00 PM,6,Mental Health First Aid,Facilitator_11,Facilitator_35,20,12,Yes,Online - Live,Open System-wide,,3,6,1,1,1,,,,Undergraduates/Staff/Faculty,,,,,,,,
Mental Health,4/9/21,Friday,,,6,Mental Health First Aid,Facilitator_11,Facilitator_35,,9,Yes,Online - Live,Pullman,,,9,,,,,,,Undergraduate,Other (Students),,,VetMed,,,,
Mental Health,4/9/21,Friday,9:00:00 AM,3:00:00 PM,6,Mental Health First Aid,Facilitator_11,Facilitator_35,,9,Yes,Online - Live,Pullman,,,9,,,,,,,Undergraduate,Other (Students),,,VetMed,,,,
Mental Health,1/26/22,Wednesday,9:00:00 AM,4:00:00 PM,7,Mental Health First Aid,Facilitator_11,Facilitator_65,,8,Yes,Online - Live,Open System-wide,,1,7,,,,,,,N/A,N/A,,,Open to all,ZOOM ,NA,NA,NA
Violence Prev,9/28/22,,6:00:00 PM,7:00:00 PM,1,Stalking on Campus,Facilitator_11,,,17,Yes,In-Person,Pullman,,,17,,,,,,,Undergraduate,Greek Student,,,,,,,
Violence Prev,10/25/22,,5:00:00 PM,6:00:00 PM,1,Supporting Survivors,Facilitator_11,,,47,Yes,In-Person,Pullman,,,47,,,,,,,Undergraduate,Greek Student,,,,,,,
Mental Health,10/28/22,Friday,4:30:00 PM,5:30:00 PM,1,Mental Health and Suicide Prevention,Facilitator_11,,,5,Yes,In-Person,Pullman,,,5,,,,,,,,,,,,,,,
Mental Health,11/14/22,Monday,9:00:00 AM,4:00:00 PM,7,Mental Health First Aid,Facilitator_11,Facilitator_61,,10,Yes,Online - Live,,,2,3,3,,2,,,,,,,,Open to All,ZOOM ,NA,NA,NA
Violence Prev,12/2/22,,5:00:00 PM,6:00:00 PM,1,Supporting Survivors,Facilitator_11,,,13,Yes,In-Person,Pullman,,,13,,,,,,,Undergraduate,Greek Student,,,,,,,
Mental Health,2/14/23,Tuesday,9:00:00 AM,4:00:00 PM,7,Mental Health First Aid,Facilitator_11,Facilitator_61,,0,No,Online - Live,Open System-wide,,,,,,,,,,,,,,Cacneled due to low numbers,ZOOM ,NA,NA,NA
Violence Prev,2/23/23,Thursday,5:00:00 PM,6:00:00 PM,1,Understanding Sexual Assault,Facilitator_11,,,38,Yes,In-Person,Pullman,,,38,,,,,,,Undergraduate,Greek Student,,,CFSL,,,,
Violence Prev,2/23/23,Thursday,6:00:00 PM,7:00:00 PM,1,Understanding Sexual Assault,Facilitator_11,,,34,Yes,In-Person,Pullman,,,34,,,,,,,Undergraduate,Greek Student,,,CFSL,,,,
Violence Prev,2/23/23,Thursday,7:00:00 PM,8:00:00 PM,1,Understanding Sexual Assault,Facilitator_11,,,39,Yes,In-Person,Pullman,,,39,,,,,,,Undergraduate,Greek Student,,,CFSL,,,,
Violence Prev,3/4/23,Saturday,10:00:00 AM,10:30:00 AM,0,Understanding Sexual Assault,Facilitator_11,,,20,Yes,In-Person,Pullman,,,20,,,,,,,,,,,,,,,
Violence Prev,3/4/23,Saturday,10:30:00 AM,11:00:00 AM,0,Understanding Sexual Assault,Facilitator_11,,,24,Yes,In-Person,Pullman,,,24,,,,,,,,,,,,,,,
AOD+IMPACT,3/5/23,Saturday,9:00:00 AM,10:00:00 AM,1,Real Risks,Facilitator_11,,,402,Yes,In-person,Pullman,,,,,,,,,,,,,,,,,,
Mental Health,3/30/23,Thursday,9:00:00 AM,4:00:00 PM,7,Mental Health First Aid,Facilitator_11,Facilitator_61,,5,Yes,Online - Live,Open System-wide,1,1,3,,,,,,,Undergraduates/Staff/Faculty,,,,,,,,
Mental Health,7/20/23,Thursday,9:00:00 AM,12:30:00 PM,4,MHFA Second Half,Facilitator_11,,,7,Yes,Online - Live,Open System-wide,,1,4,1,1,,,,,Undergraduates/Staff/Faculty,N/A,,,Split Session MHFA Open to all,ZOOM ,NA,NA,NA
Mental Health,6/5/19,Wednesday ,10:00:00 AM,12:00:00 PM,2,Campus Connect,Facilitator_12,,30,24,Yes,In-Person,Pullman,,,24,,,,,,,General ,,VetMed,Bethany Colaprete 5-6128,,VetMed 1408 ,46.72886, -117.159372,"46° 43' 43.896'' N
117° 9' 33.7392'' W"
Mandatory Prog,6/13/19,Thursday,10:00:00 AM,10:25:00 AM,0,Safety on Campus,Facilitator_12,,,34,Yes,In-Person,Pullman,,,34,,,,,,,Incoming Students,,New Student Programs,,,,,,
Mandatory Prog,6/13/19,Thursday,10:30:00 AM,10:55:00 AM,0,Safety on Campus,Facilitator_12,,,34,Yes,In-Person,Pullman,,,34,,,,,,,Incoming Students,,New Student Programs,,,,,,
Mandatory Prog,6/17/19,Monday,2:00:00 PM,2:25:00 PM,0,Safety on Campus,Facilitator_12,,,42,Yes,In-Person,Pullman,,,42,,,,,,,Incoming Students,,New Student Programs,,,,,,
Mandatory Prog,6/17/19,Monday,2:30:00 PM,2:55:00 PM,0,Safety on Campus,Facilitator_12,,,34,Yes,In-Person,Pullman,,,34,,,,,,,Incoming Students,,New Student Programs,,,,,,
Mandatory Prog,6/21/19,Friday,12:00:00 PM,12:25:00 PM,0,Safety on Campus,Facilitator_12,,,39,Yes,In-Person,Pullman,,,39,,,,,,,Incoming Students,,New Student Programs,,,,,,
Mandatory Prog,6/21/19,Friday,12:30:00 PM,12:55:00 PM,0,Safety on Campus,Facilitator_12,,,39,Yes,In-Person,Pullman,,,39,,,,,,,Incoming Students,,New Student Programs,,,,,,
Mandatory Prog,6/24/19,Monday,2:00:00 PM,2:25:00 PM,0,Safety on Campus,Facilitator_12,,,25,Yes,In-Person,Pullman,,,25,,,,,,,Incoming Students,,New Student Programs,,,,,,
Mandatory Prog,6/24/19,Monday,2:30:00 PM,2:55:00 PM,0,Safety on Campus,Facilitator_12,,,25,Yes,In-Person,Pullman,,,25,,,,,,,Incoming Students,,New Student Programs,,,,,,
Mandatory Prog,6/27/19,Thursday,9:00:00 AM,9:25:00 AM,0,Safety on Campus,Facilitator_12,,,35,Yes,In-Person,Pullman,,,35,,,,,,,Incoming Students,,New Student Programs,,,,,,
Mandatory Prog,6/27/19,Thursday,9:30:00 AM,9:55:00 AM,0,Safety on Campus,Facilitator_12,,,35,Yes,In-Person,Pullman,,,35,,,,,,,Incoming Students,,New Student Programs,,,,,,
Mandatory Prog,7/8/19,Monday,10:30:00 AM,10:55:00 AM,0,Safety on Campus,Facilitator_12,,,28,Yes,In-Person,Pullman,,,28,,,,,,,Incoming Students,,New Student Programs,,,,,,
Mandatory Prog,7/8/19,Monday,11:00:00 AM,11:25:00 AM,0,Safety on Campus,Facilitator_12,,,28,Yes,In-Person,Pullman,,,28,,,,,,,Incoming Students,,New Student Programs,,,,,,
Mandatory Prog,7/12/19,Friday,8:30:00 AM,8:55:00 AM,0,Safety on Campus,Facilitator_12,,,28,Yes,In-Person,Pullman,,,28,,,,,,,Incoming Students,,New Student Programs,,,,,,
Mandatory Prog,7/12/19,Friday,9:00:00 AM,9:25:00 AM,0,Safety on Campus,Facilitator_12,,,28,Yes,In-Person,Pullman,,,28,,,,,,,Incoming Students,,New Student Programs,,,,,,
Mandatory Prog,7/15/19,Monday,11:00:00 AM,11:25:00 AM,0,Safety on Campus,Facilitator_12,,,13,Yes,In-Person,Pullman,,,13,,,,,,,Incoming Students,,New Student Programs,,,,,,
Mandatory Prog,7/15/19,Monday,11:30:00 AM,11:55:00 AM,0,Safety on Campus,Facilitator_12,,,13,Yes,In-Person,Pullman,,,13,,,,,,,Incoming Students,,New Student Programs,,,,,,
Mandatory Prog,7/19/19,Friday,2:00:00 PM,2:25:00 PM,0,Safety on Campus,Facilitator_12,,,28,Yes,In-Person,Pullman,,,28,,,,,,,Incoming Students,,New Student Programs,,,,,,
Mandatory Prog,7/19/19,Friday,2:30:00 PM,2:55:00 PM,0,Safety on Campus,Facilitator_12,,,28,Yes,In-Person,Pullman,,,28,,,,,,,Incoming Students,,New Student Programs,,,,,,
Mandatory Prog,7/29/19,Monday,8:30:00 AM,8:55:00 AM,0,Safety on Campus,Facilitator_12,,,30,Yes,In-Person,Pullman,,,30,,,,,,,Incoming Students,,New Student Programs,,,,,,
Mandatory Prog,7/29/19,Monday,9:00:00 AM,9:25:00 AM,0,Safety on Campus,Facilitator_12,,,30,Yes,In-Person,Pullman,,,30,,,,,,,Incoming Students,,New Student Programs,,,,,,
Mandatory Prog,8/10/19,Saturday,3:30:00 PM,5:00:00 PM,2,"Booze, Sex, & Reality Checks",Facilitator_12,,,34,Yes,In-Person,Pullman,,,34,,,,,,,General,,organization,,,Todd 301,46.729809,-117.163473,"46° 43' 47.3124'' N
117° 9' 48.5028'' W"
Mandatory Prog,8/10/19,Saturday,5:45:00 PM,7:15:00 PM,2,"Booze, Sex, & Reality Checks",Facilitator_12,,,40,Yes,In-Person,Pullman,,,40,,,,,,,General,,organization,,,Todd 301,46.729809,-117.163473,"46° 43' 47.3124'' N
117° 9' 48.5028'' W"
Mandatory Prog,8/11/19,Sunday,11:00:00 AM,12:30:00 PM,2,"Booze, Sex, & Reality Checks",Facilitator_12,,,29,Yes,In-Person,Pullman,,,29,,,,,,,General,,organization,,,CUE 209,46.729801,-117.161642,"46° 43' 47.2836'' N
117° 9' 41.9112'' W"
Mandatory Prog,8/11/19,Sunday,1:15:00 PM,2:45:00 PM,2,"Booze, Sex, & Reality Checks",Facilitator_12,,,17,Yes,In-Person,Pullman,,,17,,,,,,,General,,organization,,,CUE 209,46.729801,-117.161642,"46° 43' 47.2836'' N
117° 9' 41.9112'' W"
Mandatory Prog,8/11/19,Sunday,3:30:00 PM,5:00:00 PM,2,"Booze, Sex, & Reality Checks",Facilitator_12,,,32,Yes,In-Person,Pullman,,,32,,,,,,,General,,organization,,,CUE 209,46.729801,-117.161642,"46° 43' 47.2836'' N
117° 9' 41.9112'' W"
Mandatory Prog,8/12/19,Monday,11:45:00 AM,12:45:00 PM,1,Green Dot,Facilitator_12,,,57,Yes,In-Person,Pullman,,,57,,,,,,,General,,organization,,,Todd 307,46.729809,-117.163473,"46° 43' 47.3124'' N
117° 9' 48.5028'' W"
Mandatory Prog,8/13/19,Tuesday,11:45:00 AM,12:45:00 PM,1,Green Dot,Facilitator_12,,,124,Yes,In-Person,Pullman,,,124,,,,,,,General,,organization,,,CUE 202,46.729801,-117.161642,"46° 43' 47.2836'' N
117° 9' 41.9112'' W"
Mandatory Prog,8/14/19,Wednesday,9:30:00 AM,10:30:00 AM,1,Green Dot,Facilitator_12,,,61,Yes,In-Person,Pullman,,,61,,,,,,,General,,organization,,,Todd 420,46.729809,-117.163473,"46° 43' 47.3124'' N
117° 9' 48.5028'' W"
Mandatory Prog,8/14/19,Wednesday,11:45:00 AM,12:45:00 PM,1,Green Dot,Facilitator_12,,,67,Yes,In-Person,Pullman,,,67,,,,,,,General,,organization,,,Todd 420,46.729809,-117.163473,"46° 43' 47.3124'' N
117° 9' 48.5028'' W"
Mandatory Prog,8/15/19,Thursday,11:00:00 AM,12:30:00 PM,2,"Booze, Sex, & Reality Checks",Facilitator_12,,,33,Yes,In-Person,Pullman,,,33,,,,,,,General,,organization,,,CUE 114,46.729801,-117.161642,"46° 43' 47.2836'' N
117° 9' 41.9112'' W"
Mandatory Prog,8/16/19,Friday,2:15:00 PM,4:00:00 PM,2,"Booze, Sex, & Reality Checks",Facilitator_12,,,40,Yes,In-Person,Pullman,,,40,,,,,,,General,,organization,,,CUE 114,46.729801,-117.161642,"46° 43' 47.2836'' N
117° 9' 41.9112'' W"
AOD+IMPACT,9/4/19,Wednesday ,6:30:00 PM,7:30:00 PM,1,"Sleep, Alcohol, & Academic Impacts",Facilitator_12,,10,23,Yes,In-Person,Pullman,,,23,,,,,,,General ,,Residence Life ,,,Regents Sky Lounge ,46.73453,-117.162896,"46° 44' 4.308'' N
117° 9' 46.4256'' W"
Life Skills,9/4/19,Wednesday ,3:10:00 PM,4:00:00 PM,1,Time Management,Facilitator_12,,85,20,Yes,,Pullman,,,20,,,,,,,Student ,,ASCC,https://ascc.wsu.edu/kioskscougarhs/,,,,,
Mandatory Prog,9/16/19,Monday,5:15:00 PM,6:45:00 PM,2,"Booze, Sex, & Reality Checks",Facilitator_12,,,38,Yes,In-Person,Pullman,,,38,,,,,,,General,,Health Promotion,,,,,,
Mandatory Prog,9/17/19,Tuesday,1:00:00 PM,2:00:00 PM,1,Green Dot,Facilitator_12,,,42,Yes,In-Person,Pullman,,,42,,,,,,,,,,,,,,,
Life Skills,9/18/19,Wednesday ,3:20:00 PM,4:20:00 PM,1,Stress Management,Facilitator_12,,37,34,Yes,,Pullman,,,34,,,,,,,General ,,Residence Life ,Brandon Brackett 509-335-8837,,,,,
Mandatory Prog,9/24/19,Tuesday,3:30:00 PM,5:00:00 PM,2,"Booze, Sex, & Reality Checks",Facilitator_12,,,33,Yes,In-Person,Pullman,,,33,,,,,,,General,,Health Promotion,,,,,,
AOD+IMPACT,9/30/19,Monday ,6:00:00 PM,7:00:00 PM,1,Party Expectations,Facilitator_12,,95,0,No,In-Person,Pullman,,,,,,,,,,Greek ,,Sigma Phi Epsilon ,,,CUE 410,46.729809,-117.161607,"46° 43' 47.3124'' N
117° 9' 41.7852'' W"
Mandatory Prog,10/1/19,Tuesday,4:15:00 PM,5:45:00 PM,2,"Booze, Sex, & Reality Checks",Facilitator_12,,,36,Yes,In-Person,Pullman,,,36,,,,,,,General,,Health Promotion,,,,,,
Life Skills,10/2/19,Wednesday ,11:10:00 AM,12:00:00 PM,1,Stress Management,Facilitator_12,,30,25,Yes,,Pullman,,,25,,,,,,,General ,,ASCC ,Katie Reilly 509-335-6000,,,,,
Life Skills,10/3/19,Thursday ,1:25:00 PM,2:15:00 PM,1,Stress Management,Facilitator_12,,30,28,Yes,,Pullman,,,28,,,,,,,General ,,ASCC ,Katie Reilly 509-335-6000,,,,,
Mandatory Prog,10/3/19,Thursday ,9:00:00 AM,10:00:00 AM,1,Green Dot,Facilitator_12,,,18,Yes,In-Person,Pullman,,,18,,,,,,,,,,,,,,,
